Medicare CCN,Projected to Receive DSH in FY 2024,IHS or PR,Rural Community Hospital Demonstration,New Hospital,2018 UCC (Annualized),Length of 2018 Reporting Period,2019 UCC (Annualized),Length of 2019 Reporting Period,2020 UCC (Annualized),Length of 2020 Reporting Period,Factor 3,Total Uncompensated Care Payment,Total Supplemental Payment,Estimated Per Claim Amount, BILLS 2021 , BILLS 2022 , Claims Average 
490053,YES,NO,NO,NO,"$7,354,624.00 ",365,"$3,724,896.80 ",366,3826097.82,365,0.000146593,870469.04,N/A,479.6,"1,912","1,718",1815
490057,YES,NO,NO,NO,"$31,494,478.00 ",365,"$19,718,690.00 ",365,15001625,366,0.000650208,3860938.7,N/A,789.72,"5,088","4,690",4889
490059,YES,NO,NO,NO,"$18,455,974.00 ",365,"$17,004,703.77 ",366,14934755.34,365,0.000494349,2935450.16,N/A,540.2,"5,585","5,282",5434
490060,YES,NO,NO,NO,"$2,894,042.00 ",365,"$2,668,425.00 ",365,1629310,366,0.000070463,418409.79,N/A,538.49,840,713,777
490063,YES,NO,NO,NO,"$89,062,904.00 ",365,"$86,323,029.00 ",365,81720727,366,0.002522321,14977561.69,N/A,1245.22,"11,997","12,058",12028
490066,YES,NO,NO,NO,"$13,434,853.00 ",365,"$8,379,143.00 ",365,7561604,366,0.00028859,1713651.98,N/A,633.28,"2,880","2,532",2706
490067,YES,NO,NO,NO,"$13,228,676.00 ",365,"$8,041,739.64 ",306,5728140,366,0.000265108,1574210.89,N/A,462.32,"3,527","3,283",3405
490069,YES,NO,NO,NO,"$13,420,136.00 ",365,"$9,245,647.46 ",366,8424669.22,365,0.000305334,1813075.5,N/A,378.83,"4,946","4,626",4786
490075,YES,NO,NO,NO,"$12,472,416.00 ",365,"$11,518,190.00 ",365,8433594,366,0.000317862,1887466.39,N/A,566.64,"3,754","2,908",3331
490077,NO,NO,NO,NO,"$15,662,706.00 ",365,"$9,573,671.00 ",365,8288227,366,0.00032934,N/A,N/A,N/A, N/A , N/A , N/A 
490084,SCH,NO,NO,NO,"$7,370,260.00 ",365,"$3,729,113.00 ",365,4162073,366,0.000150123,N/A,N/A,1324.57,712,634,673
490088,YES,NO,NO,NO,"$3,598,259.00 ",365,"$2,058,881.00 ",365,2105534,366,0.000076311,453133.87,N/A,578.72,794,771,783
490089,YES,NO,NO,NO,"$4,671,959.00 ",365,"$2,933,864.00 ",365,2808531,366,0.000102326,607613.63,N/A,1222.56,439,554,497
490090,SCH,NO,NO,NO,"$4,332,161.00 ",365,"$2,496,141.00 ",365,5279947,366,0.00011929,N/A,N/A,574.49,"1,258","1,208",1233
490092,SCH,NO,NO,NO,"$2,552,610.00 ",365,"$1,439,982.00 ",365,959361,366,0.000048633,N/A,N/A,549.02,506,545,526
490093,YES,NO,NO,NO,"$27,879,228.00 ",365,"$17,915,876.00 ",365,18039120,366,0.000627242,3724567.72,N/A,1648.77,"2,437","2,080",2259
490094,YES,NO,NO,NO,"$7,488,885.00 ",365,"$5,024,027.54 ",366,4158759.73,365,0.000163701,972060.6,N/A,4628.86,223,197,210
490097,YES,NO,NO,NO,"$2,291,518.00 ",365,"$1,292,682.09 ",306,1706498,366,0.000052049,309070.26,N/A,1304.09,252,221,237
490098,YES,NO,NO,NO,"$6,826,522.00 ",365,"$4,125,711.68 ",366,4223568.81,365,0.000149158,885699.09,N/A,857.4,"1,079",986,1033
490101,YES,NO,NO,NO,"$14,957,630.00 ",365,"$14,103,210.00 ",365,11967023,366,0.000402377,2389316.73,N/A,928.97,"2,583","2,560",2572
490104,NO,NO,NO,NO,$0.00 ,365,$0.00 ,366,0,365,0,N/A,N/A,N/A, N/A , N/A , N/A 
490107,YES,NO,NO,NO,"$10,797,827.00 ",365,"$10,604,258.00 ",365,11101079,366,0.00031898,1894103.31,N/A,597.51,"3,320","3,019",3170
490110,YES,NO,NO,NO,"$4,377,082.00 ",365,"$3,917,909.00 ",365,2973453,366,0.000110494,656112,N/A,337.68,"1,980","1,905",1943
490111,SCH,NO,NO,NO,"$2,262,301.00 ",365,"$2,440,028.00 ",365,1298493,366,0.000058729,N/A,N/A,651.84,589,480,535
490112,YES,NO,NO,NO,"$27,795,278.00 ",365,"$21,691,288.81 ",366,18610345.94,365,0.00066834,3968606.52,N/A,405.21,"10,345","9,243",9794
